Date,gex
2011-05-02,1897312571
2011-05-03,1859730656
2011-05-04,1717763845
2011-05-05,1361864280
2011-05-06,1490328626
2011-05-09,1677058729
2011-05-10,2034952131
2011-05-11,1536770885
2011-05-12,1674923266
2011-05-13,1218149462
2011-05-16,779596412.3
2011-05-17,841850592
2011-05-18,1366160182
2011-05-19,1543685365
2011-05-20,1288076424
2011-05-23,539696742.8
2011-05-24,510244377.5
2011-05-25,740695062.9
2011-05-26,794680724.9
2011-05-27,918664965.2
2011-05-31,1501018827
2011-06-01,765472910.7
2011-06-02,737054457.1
2011-06-03,405956517.9
2011-06-06,24119666.1
2011-06-07,-172403089.1
2011-06-08,-285916518
2011-06-09,-110999211.3
2011-06-10,-459227978.2
2011-06-13,-449818392.3
2011-06-14,97844618.18
2011-06-15,-618829105.2
2011-06-16,-643026779.9
2011-06-17,-444255510.6
2011-06-20,130641736.1
2011-06-21,594237200.5
2011-06-22,421966023.2
2011-06-23,673524372.9
2011-06-24,197912878.2
2011-06-27,533994908.8
2011-06-28,1000303670
2011-06-29,1263240917
2011-06-30,1731119950
2011-07-01,2019895207
2011-07-05,2204693723
2011-07-06,2236776777
2011-07-07,2729301387
2011-07-08,2490173790
2011-07-11,1737340523
2011-07-12,1533836324
2011-07-13,1957650369
2011-07-14,1650214263
2011-07-15,4176336442
2011-07-18,887183380
2011-07-19,1304589933
2011-07-20,1549113896
2011-07-21,1763114024
2011-07-22,1635847484
2011-07-25,1594831932
2011-07-26,1541061095
2011-07-27,839162001.8
2011-07-28,727984032.6
2011-07-29,634859901
2011-08-01,645133919.4
2011-08-02,54369376.39
2011-08-03,224930307.5
2011-08-04,-660360325.5
2011-08-05,-463212353.1
2011-08-08,-802754541.1
2011-08-09,-374593398
2011-08-10,-759558784.7
2011-08-11,-264886917.5
2011-08-12,-309018593.5
2011-08-15,-23047118.8
2011-08-16,-225224022.6
2011-08-17,-251705740.2
2011-08-18,-836496736.5
2011-08-19,-1187036923
2011-08-22,-361898319.4
2011-08-23,54580971.03
2011-08-24,205415735.9
2011-08-25,2799983.66
2011-08-26,137694130.1
2011-08-29,561222253.1
2011-08-30,635378251.4
2011-08-31,605715448.2
2011-09-01,320553022
2011-09-02,-15399260.06
2011-09-06,-974825.71
2011-09-07,424298106.1
2011-09-08,294110268
2011-09-09,-164918292.2
2011-09-12,-55401539.5
2011-09-13,180810962.2
2011-09-14,516499239.9
2011-09-15,924224780.5
2011-09-16,1627867630
2011-09-19,819791724.4
2011-09-20,864559001.3
2011-09-21,480322758.3
2011-09-22,42688858.26
2011-09-23,246153269.1
2011-09-26,415707524.8
2011-09-27,506709646.2
2011-09-28,303390928.7
2011-09-29,253516385.7
2011-09-30,11640191.37
2011-10-03,-220425308.1
2011-10-04,-85366095.48
2011-10-05,168193569.3
2011-10-06,401723210.3
2011-10-07,219498636.1
2011-10-10,931951102.5
2011-10-11,1128800514
2011-10-12,1326485542
2011-10-13,1378016376
2011-10-14,1783365971
2011-10-17,1329837843
2011-10-18,1784730872
2011-10-19,1070550490
2011-10-20,1012832468
2011-10-21,2347473743
2011-10-24,1158879374
2011-10-25,799720648.2
2011-10-26,1009327345
2011-10-27,1688101729
2011-10-28,1581690426
2011-10-31,1171656477
2011-11-01,562856339.8
2011-11-02,851141787.8
2011-11-03,1438676102
2011-11-04,1145431786
2011-11-07,1329564468
2011-11-08,1807110772
2011-11-09,615504956
2011-11-10,665815678.9
2011-11-11,1253845090
2011-11-14,1051690216
2011-11-15,1337630468
2011-11-16,745624770.7
2011-11-17,164520103.5
2011-11-18,-948429186.9
2011-11-21,70720556.43
2011-11-22,156201703.2
2011-11-23,-252170842.5
2011-11-25,-206203569.7
2011-11-28,250687378.9
2011-11-29,260318977.5
2011-11-30,1219948970
2011-12-01,1310091659
2011-12-02,1122010988
2011-12-05,1407537501
2011-12-06,1385127223
2011-12-07,1400280640
2011-12-08,927913416.2
2011-12-09,1452367339
2011-12-12,1022002330
2011-12-13,707628338.1
2011-12-14,182965155.9
2011-12-15,181227650.2
2011-12-16,809948927.7
2011-12-19,547980483.5
2011-12-20,1244950459
2011-12-21,1417896318
2011-12-22,1681798898
2011-12-23,1667860365
2011-12-27,1823359678
2011-12-28,1420172304
2011-12-29,1770650321
2011-12-30,1555835281
2012-01-03,2013937733
2012-01-04,2149477635
2012-01-05,2291122803
2012-01-06,2050336452
2012-01-09,2099565270
2012-01-10,2365634573
2012-01-11,2328042130
2012-01-12,2400086675
2012-01-13,2244354575
2012-01-17,2487898292
2012-01-18,2789240579
2012-01-19,3020604554
2012-01-20,5358379990
2012-01-23,1360477010
2012-01-24,1326643587
2012-01-25,2073559882
2012-01-26,1847055850
2012-01-27,1579086753
2012-01-30,1685941157
2012-01-31,1788588311
2012-02-01,1942692935
2012-02-02,1988290986
2012-02-03,2256784984
2012-02-06,2380094745
2012-02-07,2555741485
2012-02-08,2676630481
2012-02-09,2606671502
2012-02-10,2166027617
2012-02-13,2383096276
2012-02-14,2375689236
2012-02-15,1946328756
2012-02-16,2403205901
2012-02-17,3963263036
2012-02-21,1836440940
2012-02-22,1847991718
2012-02-23,2178450928
2012-02-24,2048066404
2012-02-27,2143096789
2012-02-28,2489017761
2012-02-29,2279679894
2012-03-01,2532165991
2012-03-02,2193723807
2012-03-05,1968104282
2012-03-06,1367268859
2012-03-07,1663036075
2012-03-08,2461000862
2012-03-09,2422366519
2012-03-12,2739084140
2012-03-13,3390409713
2012-03-14,3256845975
2012-03-15,3404727489
2012-03-16,4959128417
2012-03-19,2249543027
2012-03-20,2383750780
2012-03-21,2385713488
2012-03-22,2059240156
2012-03-23,1992954218
2012-03-26,2620114919
2012-03-27,2803205760
2012-03-28,2649575365
2012-03-29,2332339630
2012-03-30,2282703676
2012-04-02,2916921422
2012-04-03,3033797133
2012-04-04,2606570752
2012-04-05,2336089426
2012-04-09,2115169227
2012-04-10,1368222030
2012-04-11,1462342361
2012-04-12,1958043309
