Date,qqq_rsi_14,qqq_macd_12,qqq_roc_1,qqq_roc_5,qqq_vol_20,qqq_weekday,qqq_month,qqq_obv_20,dix_macd_12,gex_roc_1,gld_roc_1,rrp_roc_5,vix_roc_1,gbpusd_roc_1,gbpusd_STOK_20,usdjpy_roc_1,t2y_diff_1,t2y_acc_1,t10y2y_diff_1,beta_gld_qqq,beta_gbpusd_qqq,beta_usdjpy_qqq,bid_ask_spread,qqq_us2y_corr,qqq_ret_label_1,qqq_ret_1
14/8/2013,63.92642503,0.774162959,-0.3761324,0.510329197,0.084827116,2,8,9.437763127,0.005774098,-9.829376555,0.986380242,-46.46017699,5.93013416,0.368363469,85.07977577,-0.052953157,0,-0.02,0,-0.183818468,-0.215492901,0.443195221,0.01,-0.108782085,-1,-0.005661624
20/8/2013,51.74207948,0.387545387,0.437971431,-1.84173015,0.094298049,1,8,10.42860768,0.007199131,-2.443290949,0.333309915,115.5172414,-1.258281624,0.1309628,96.49752264,-0.33721109,0,0,-0.06,-0.519456449,-0.345552401,0.558380278,0.01,-0.214069877,1,0.004109193
30/9/2013,63.38121022,0.726216935,-0.240324247,0.06343297,0.081414764,0,9,15.04894864,0.00076025,-17.36002162,-0.612552138,392.4803116,7.373870227,0.30559998,97.09165687,-0.045793137,-0.01,-0.01,0.01,1.046127527,0.228709304,0.271737523,0.01,-0.002231,1,0.003168969
1/10/2013,69.08691841,0.752091124,1.014198593,1.078274899,0.085258174,1,10,16.02569658,0.001708333,39.42348321,-2.800746298,-64.54252222,-6.385544553,0.087136545,92.74359729,-0.392983313,0,0.01,0.02,0.511525641,0.178579137,0.11744294,0,-0.04544421,1,0.005180739
2/10/2013,68.65463126,0.76162725,-0.037674961,1.387484418,0.080253076,2,10,5.430464187,0.002414998,7.743502071,1.982503711,-56.7264574,6.821109541,0.155597817,95.80409357,-0.480390854,-0.02,-0.02,-0.01,0.607789423,0.171035865,0.088738843,0.01,-0.14334394,-1,-0.010433712
3/10/2013,56.79802125,0.693354813,-1.167569141,-0.568391618,0.093899458,3,10,-6.976797127,0.004329385,-30.91638649,0.094445697,-76.00765713,6.445781178,-0.38715723,86.62280702,-0.13762363,0.02,0.04,-0.03,0.378804176,0.239949117,0.066171088,0.01,-0.309496774,-1,-0.000254119
4/10/2013,61.96983687,0.681001281,0.86381869,0.417333351,0.097360479,4,10,-8.007477066,0.002705966,21.40234793,-0.511087827,-91.69173385,-5.263159625,-0.80826835,60.51555556,0.171752389,0,-0.02,0.04,0.33374913,0.128707515,0.085980441,0.01,-0.308514491,1,0.000508271
7/10/2013,55.07774911,0.615964728,-0.831261616,-0.177499724,0.096142203,0,10,-16.87921276,0.002664974,-14.30023901,0.877262792,-98.70178998,15.94982149,0.393076856,71.46188341,-0.516427105,0.04,0.04,-0.05,0.176309599,0.048748477,0.069155484,0.01,-0.43623849,-1,-0.017017988
8/10/2013,43.17019781,0.448377046,-1.930395214,-3.087355172,0.118160995,1,10,-28.17193868,0.002653327,-51.62645028,-0.188027187,-83.91391169,4.79134625,-0.071471188,64.24229721,0.070177611,0.03,-0.01,-0.02,0.180754313,0.064339249,-0.035833926,0.01,-0.65130588,1,0.005297106
9/10/2013,41.63942286,0.294658719,-0.310804639,-3.352152129,0.118430832,2,10,-31.55089392,0.002394447,9.457462188,-1.012559564,-84.27091044,-3.638150268,-0.766843503,38.28223436,0.407363482,-0.03,-0.06,0.05,0.202575922,0.091805843,-0.052847082,0.01,-0.629580181,1,0.00771117
