Date,Open,High,Low,Close,Volume,Tickvol,SHROUT
2010-02-11,105.5800018,107.5599976,105.2699966,107.1299973,19350100,-1,-1
2010-02-12,106.0800018,107.0999985,105.5699997,107.0400009,14464200,-1,-1
2010-02-16,109.4499969,109.8700027,109.0999985,109.6200027,20895700,-1,-1
2010-02-17,109.6600037,110.0100021,108.8700027,109.25,19593400,-1,-1
2010-02-18,109.6100006,110.1100006,109.1900024,109.9800034,19177400,-1,-1
2010-02-19,109.3199997,110.3899994,108.8099976,109.4700012,21928700,-1,-1
2010-02-22,109.8600006,109.9700012,108.6600037,109.0699997,10742800,-1,-1
2010-02-23,108.8399963,108.9100037,107.6500015,107.8899994,13629600,-1,-1
2010-02-24,107.3300018,108.1600037,107.0999985,107.3600006,17207400,-1,-1
2010-02-25,106.6999969,108.6999969,106.5999985,108.3099976,23400400,-1,-1
2010-02-26,108.8899994,109.5999985,108.4100037,109.4300003,13033900,-1,-1
2010-03-01,109.4800034,109.9000015,108.9700012,109.4300003,12830900,-1,-1
2010-03-02,109.8600006,111.4499969,109.8600006,111.0199966,20102200,-1,-1
2010-03-03,111.4599991,112.1800003,111.1800003,111.6299973,16222100,-1,-1
2010-03-04,111.25,111.3700027,110.2200012,110.8300018,12944800,-1,-1
2010-03-05,111.1299973,111.75,110.8000031,110.8099976,11091400,-1,-1
2010-03-08,111.2200012,111.3000031,109.5199966,109.8799973,12753800,-1,-1
2010-03-09,109.1600037,110.1600037,109.0400009,109.7200012,12650800,-1,-1
2010-03-10,109.9400024,110.5,108.0199966,108.4700012,21982100,-1,-1
2010-03-11,108.2799988,108.6500015,107.8600006,108.5999985,9513300,-1,-1
2010-03-12,108.5599976,108.7699966,107.4499969,107.9499969,11849000,-1,-1
2010-03-15,108.1600037,108.5599976,107.8199997,108.3600006,7698600,-1,-1
2010-03-16,110.0199966,110.5699997,109.6999969,110.4000015,17749300,-1,-1
2010-03-17,110.1800003,110.4599991,109.5500031,109.5899963,13784300,-1,-1
2010-03-18,110.0999985,110.6100006,109.5,110.3399963,13848400,-1,-1
2010-03-19,108.2799988,110.2900009,107.8499985,108.2799988,24329100,-1,-1
2010-03-22,107.3099976,108,106.9499969,107.75,11579400,-1,-1
2010-03-23,107.5,108.5,107.3399963,108.3199997,11274400,-1,-1
2010-03-24,106.9400024,107.0699997,106.2399979,106.3000031,14236700,-1,-1
2010-03-25,107,107.25,106.4800034,106.7799988,16866700,-1,-1
2010-03-26,107.1600037,108.6999969,106.8199997,108.5899963,17433600,-1,-1
2010-03-29,108.8700027,109.1699982,108.4000015,108.75,11527000,-1,-1
2010-03-30,108.5699997,108.6600037,107.8700027,107.9700012,9817700,-1,-1
2010-03-31,109.4400024,109.5,108.8499985,108.9499969,14006800,-1,-1
2010-04-01,109.9700012,110.4700012,109.9199982,110.2600021,11370500,-1,-1
2010-04-05,110.5599976,110.9800034,110.2699966,110.8899994,8207900,-1,-1
2010-04-06,110.8899994,111.5100021,110.8300018,111.0299988,10322300,-1,-1
2010-04-07,111.8499985,112.9300003,111.7699966,112.4899979,19139500,-1,-1
2010-04-08,112.4700012,112.9800034,112.1299973,112.6500015,12445400,-1,-1
2010-04-09,113.0899963,114.0699997,112.7399979,113.6399994,16427800,-1,-1
2010-04-12,113.6399994,114.1299973,112.9800034,113.0100021,11118900,-1,-1
2010-04-13,113.1200027,113.1600037,112.0599976,112.6900024,11261100,-1,-1
2010-04-14,113.2300034,113.6600037,112.7799988,113.0299988,10572100,-1,-1
2010-04-15,112.9000015,113.7099991,112.8499985,113.6500015,10952100,-1,-1
2010-04-16,112.5,113.0699997,110.5400009,111.2399979,24572600,-1,-1
2010-04-19,110.8799973,111.3600006,110.6699982,111.1500015,7993700,-1,-1
2010-04-20,111.7300034,112.2099991,111.3300018,111.4599991,7019800,-1,-1
2010-04-21,111.8199997,112.6399994,111.4800034,112.3099976,6842900,-1,-1
2010-04-22,111.7900009,112.0100021,110.7600021,111.8399963,9598900,-1,-1
2010-04-23,111.2600021,113.3000031,111.0899963,113.1900024,12505800,-1,-1
2010-04-26,112.8799973,113.1999969,112.6299973,112.75,8335400,-1,-1
2010-04-27,112.4300003,114.8199997,112.3399963,114.6299973,25057100,-1,-1
2010-04-28,114.0299988,114.9899979,113.6299973,114.3099976,26891900,-1,-1
2010-04-29,113.8499985,114.5199966,113.8399963,114.2799988,10374300,-1,-1
2010-04-30,115.2600021,115.6999969,115.2099991,115.3600006,13403100,-1,-1
2010-05-03,115.9100037,116.2799988,115.5299988,115.7300034,13570800,-1,-1
2010-05-04,116.3899994,116.4300003,114.1699982,114.8700027,21512100,-1,-1
